psnr,ms_ssim,bpp
28.414803443519492,0.9049767851829529,0.0986328125
26.868422141523496,0.9411852359771729,0.22615559895833334
30.138141589917197,0.9125576615333557,0.054443359375
31.469772394749608,0.9503912329673767,0.06754557291666667
27.669619984128413,0.9057588577270508,0.12931315104166666
31.15039168407245,0.9120388627052307,0.043050130208333336
24.566608979010468,0.8925110697746277,0.29443359375
31.20271859957147,0.9687597155570984,0.093017578125
31.870632764183213,0.9496031403541565,0.044026692708333336
30.457700100265324,0.9388198852539062,0.08292643229166667
29.410903238306435,0.9046157002449036,0.06306966145833333
30.197741734343825,0.8923436999320984,0.041259765625
27.325138110645412,0.9096143841743469,0.14371744791666666
26.16947819621354,0.9229679107666016,0.14737955729166666
30.45370179204704,0.9372358918190002,0.051676432291666664
27.195440577437516,0.9274749755859375,0.17236328125
26.98260555156118,0.91231769323349,0.164306640625
29.293864425767104,0.9143350720405579,0.074462890625
28.22155706649341,0.8872577548027039,0.08186848958333333
32.61059380984745,0.9525600075721741,0.053548177083333336
31.60266816868222,0.9612234234809875,0.06306966145833333
28.233267465160427,0.9459229111671448,0.13232421875
31.09192029121029,0.9525399208068848,0.055094401041666664
26.649509145336967,0.9552556872367859,0.221435546875
